x,y,z,field
0.375,0.375,15.0,0.016
0.375,0.75,15.0,0.042
0.75,-0.75,15.0,-0.074
0.75,-0.375,15.0,-0.048
0.75,0.0,15.0,-0.02
0.75,0.375,15.0,0.008
0.75,0.75,15.0,0.034
-0.75,-0.75,16.5,-0.05
-0.75,-0.375,16.5,-0.033
-0.75,0.0,16.5,-0.015
-0.75,0.375,16.5,0.003
-0.75,0.75,16.5,0.019
-0.375,-0.75,16.5,-0.045
-0.375,-0.375,16.5,-0.028
-0.375,0.0,16.5,-0.009
-0.375,0.375,16.5,0.007
-0.375,0.75,16.5,0.024
0.0,-0.75,16.5,-0.045
0.0,-0.375,16.5,-0.028
0.0,0.0,16.5,-0.009
0.0,0.375,16.5,0.008
0.0,0.75,16.5,0.026
0.375,-0.75,16.5,-0.045
0.375,-0.375,16.5,-0.028
0.375,0.0,16.5,-0.01
0.375,0.375,16.5,0.007
0.375,0.75,16.5,0.024
0.75,-0.75,16.5,-0.051
0.75,-0.375,16.5,-0.034
0.75,0.0,16.5,-0.016
0.75,0.375,16.5,0.002
0.75,0.75,16.5,0.019
-0.75,-0.75,18.0,-0.036
-0.75,-0.375,18.0,-0.025
-0.75,0.0,18.0,-0.014
-0.75,0.375,18.0,-0.002
-0.75,0.75,18.0,0.008
-0.375,-0.75,18.0,-0.033
-0.375,-0.375,18.0,-0.021
-0.375,0.0,18.0,-0.01
-0.375,0.375,18.0,0.001
-0.375,0.75,18.0,0.012
0.0,-0.75,18.0,-0.033
0.0,-0.375,18.0,-0.021
0.0,0.0,18.0,-0.009
0.0,0.375,18.0,0.002
0.0,0.75,18.0,0.012
0.375,-0.75,18.0,-0.033
0.375,-0.375,18.0,-0.023
0.375,0.0,18.0,-0.01
0.375,0.375,18.0,0.001
0.375,0.75,18.0,0.012
0.75,-0.75,18.0,-0.036
0.75,-0.375,18.0,-0.025
0.75,0.0,18.0,-0.015
0.75,0.375,18.0,-0.003
0.75,0.75,18.0,0.008
-0.75,-0.75,19.5,-0.028
-0.75,-0.375,19.5,-0.02
-0.75,0.0,19.5,-0.013
-0.75,0.375,19.5,-0.005
-0.75,0.75,19.5,0.002
-0.375,-0.75,19.5,-0.025
-0.375,-0.375,19.5,-0.018
-0.375,0.0,19.5,-0.01
-0.375,0.375,19.5,-0.003
-0.375,0.75,19.5,0.004
0.0,-0.75,19.5,-0.025
0.0,-0.375,19.5,-0.018
0.0,0.0,19.5,-0.01
0.0,0.375,19.5,-0.003
0.0,0.75,19.5,0.004
0.375,-0.75,19.5,-0.025
0.375,-0.375,19.5,-0.019
0.375,0.0,19.5,-0.01
0.375,0.375,19.5,-0.003
0.375,0.75,19.5,0.003
0.75,-0.75,19.5,-0.028
0.75,-0.375,19.5,-0.021
0.75,0.0,19.5,-0.014
0.75,0.375,19.5,-0.005
0.75,0.75,19.5,0.002
-0.75,-0.75,21.0,-0.023
-0.75,-0.375,21.0,-0.018
-0.75,0.0,21.0,-0.013
-0.75,0.375,21.0,-0.007
-0.75,0.75,21.0,-0.002
-0.375,-0.75,21.0,-0.021
-0.375,-0.375,21.0,-0.016
-0.375,0.0,21.0,-0.01
-0.375,0.375,21.0,-0.005
-0.375,0.75,21.0,0.0
0.0,-0.75,21.0,-0.02
0.0,-0.375,21.0,-0.016
0.0,0.0,21.0,-0.01
0.0,0.375,21.0,-0.005
0.0,0.75,21.0,0.0
0.375,-0.75,21.0,-0.021
0.375,-0.375,21.0,-0.016
0.375,0.0,21.0,-0.01
0.375,0.375,21.0,-0.005
0.375,0.75,21.0,0.0
0.75,-0.75,21.0,-0.023
0.75,-0.375,21.0,-0.018
0.75,0.0,21.0,-0.013
0.75,0.375,21.0,-0.007
0.75,0.75,21.0,-0.003
-0.75,-0.75,22.5,-0.019
-0.75,-0.375,22.5,-0.015
-0.75,0.0,22.5,-0.013
-0.75,0.375,22.5,-0.008
-0.75,0.75,22.5,-0.004
-0.375,-0.75,22.5,-0.018
-0.375,-0.375,22.5,-0.015
-0.375,0.0,22.5,-0.01
-0.375,0.375,22.5,-0.007
-0.375,0.75,22.5,-0.004
0.0,-0.75,22.5,-0.018
0.0,-0.375,22.5,-0.015
0.0,0.0,22.5,-0.01
0.0,0.375,22.5,-0.007
0.0,0.75,22.5,-0.003
0.375,-0.75,22.5,-0.019
0.375,-0.375,22.5,-0.015
0.375,0.0,22.5,-0.01
0.375,0.375,22.5,-0.007
0.375,0.75,22.5,-0.004
0.75,-0.75,22.5,-0.02
0.75,-0.375,22.5,-0.016
0.75,0.0,22.5,-0.013
0.75,0.375,22.5,-0.008
0.75,0.75,22.5,-0.005
-0.75,-0.75,24.0,-0.018
-0.75,-0.375,24.0,-0.015
-0.75,0.0,24.0,-0.013
-0.75,0.375,24.0,-0.009
-0.75,0.75,24.0,-0.007
-0.375,-0.75,24.0,-0.016
-0.375,-0.375,24.0,-0.014
-0.375,0.0,24.0,-0.01
-0.375,0.375,24.0,-0.008
-0.375,0.75,24.0,-0.005
0.0,-0.75,24.0,-0.016
0.0,-0.375,24.0,-0.014
0.0,0.0,24.0,-0.01
0.0,0.375,24.0,-0.008
0.0,0.75,24.0,-0.005
0.375,-0.75,24.0,-0.016
0.375,-0.375,24.0,-0.014
0.375,0.0,24.0,-0.01
0.375,0.375,24.0,-0.008
0.375,0.75,24.0,-0.005
0.75,-0.75,24.0,-0.018
0.75,-0.375,24.0,-0.015
0.75,0.0,24.0,-0.013
0.75,0.375,24.0,-0.009
0.75,0.75,24.0,-0.007
-0.75,-0.75,25.5,-0.016
-0.75,-0.375,25.5,-0.014
-0.75,0.0,25.5,-0.013
-0.75,0.375,25.5,-0.009
-0.75,0.75,25.5,-0.007
-0.375,-0.75,25.5,-0.015
-0.375,-0.375,25.5,-0.014
-0.375,0.0,25.5,-0.01
-0.375,0.375,25.5,-0.009
-0.375,0.75,25.5,-0.007
0.0,-0.75,25.5,-0.015
0.0,-0.375,25.5,-0.014
0.0,0.0,25.5,-0.01
0.0,0.375,25.5,-0.009
0.0,0.75,25.5,-0.007
0.375,-0.75,25.5,-0.015
0.375,-0.375,25.5,-0.014
0.375,0.0,25.5,-0.01
0.375,0.375,25.5,-0.009
0.375,0.75,25.5,-0.007
0.75,-0.75,25.5,-0.016
0.75,-0.375,25.5,-0.014
0.75,0.0,25.5,-0.013
0.75,0.375,25.5,-0.009
0.75,0.75,25.5,-0.008
-0.75,-0.75,27.0,-0.015
-0.75,-0.375,27.0,-0.014
-0.75,0.0,27.0,-0.01
-0.75,0.375,27.0,-0.009
-0.75,0.75,27.0,-0.008
-0.375,-0.75,27.0,-0.015
-0.375,-0.375,27.0,-0.013
-0.375,0.0,27.0,-0.01
-0.375,0.375,27.0,-0.009
-0.375,0.75,27.0,-0.008
0.0,-0.75,27.0,-0.015
0.0,-0.375,27.0,-0.013
0.0,0.0,27.0,-0.01
0.0,0.375,27.0,-0.009
0.0,0.75,27.0,-0.008
0.375,-0.75,27.0,-0.015
0.375,-0.375,27.0,-0.013
0.375,0.0,27.0,-0.01
0.375,0.375,27.0,-0.009
0.375,0.75,27.0,-0.008
0.75,-0.75,27.0,-0.015
0.75,-0.375,27.0,-0.014
0.75,0.0,27.0,-0.013
0.75,0.375,27.0,-0.009
0.75,0.75,27.0,-0.008
-0.75,-0.75,28.5,-0.015
-0.75,-0.375,28.5,-0.014
-0.75,0.0,28.5,-0.01
-0.75,0.375,28.5,-0.01
-0.75,0.75,28.5,-0.009
-0.375,-0.75,28.5,-0.014
-0.375,-0.375,28.5,-0.013
-0.375,0.0,28.5,-0.01
-0.375,0.375,28.5,-0.009
-0.375,0.75,28.5,-0.008
0.0,-0.75,28.5,-0.014
0.0,-0.375,28.5,-0.013
0.0,0.0,28.5,-0.01
0.0,0.375,28.5,-0.009
0.0,0.75,28.5,-0.008
0.375,-0.75,28.5,-0.014
0.375,-0.375,28.5,-0.013
0.375,0.0,28.5,-0.01
0.375,0.375,28.5,-0.009
0.375,0.75,28.5,-0.008
0.75,-0.75,28.5,-0.015
0.75,-0.375,28.5,-0.014
0.75,0.0,28.5,-0.013
0.75,0.375,28.5,-0.01
0.75,0.75,28.5,-0.009
-0.75,-0.75,30.0,-0.014
-0.75,-0.375,30.0,-0.013
-0.75,0.0,30.0,-0.01
-0.75,0.375,30.0,-0.01
-0.75,0.75,30.0,-0.009
-0.375,-0.75,30.0,-0.014
-0.375,-0.375,30.0,-0.013
-0.375,0.0,30.0,-0.01
-0.375,0.375,30.0,-0.009
-0.375,0.75,30.0,-0.009
0.0,-0.75,30.0,-0.014
0.0,-0.375,30.0,-0.013
0.0,0.0,30.0,-0.01
0.0,0.375,30.0,-0.009
0.0,0.75,30.0,-0.009
0.375,-0.75,30.0,-0.014
0.375,-0.375,30.0,-0.013
0.375,0.0,30.0,-0.01
0.375,0.375,30.0,-0.009
0.375,0.75,30.0,-0.009
0.75,-0.75,30.0,-0.014
0.75,-0.375,30.0,-0.013
0.75,0.0,30.0,-0.013
0.75,0.375,30.0,-0.01
0.75,0.75,30.0,-0.009
